name,Rotation,Strikes,Pitches,Strikes Rate,Balls Rate,4-Seam Fastball,2-Seam Fastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Brandon Hughes,1,212,351,60.4,39.6,37.1,0,0,22.6,40.3,0,0,0,0,0,0,0,0
Eduardo Rodriguez,1,551,870,63.3,36.7,44,0,19.3,7.6,6.6,0,0,0,0,0,22.5,0,0
Merrill Kelly,1,742,1143,64.9,35.1,19.6,0,25.2,14.6,11.8,7.8,0,0,0,0,20.9,0,0
Zac Gallen,1,1554,2507,62,38,46.3,0,3.1,0,8.7,27.7,0,0,0,0,14,0,0
A.J. Puk,2,295,417,70.7,29.3,42.9,0,0,15.1,21.6,0,0,16.5,0,2.6,1.4,0,0
Andrew Saalfrank,2,11,26,42.3,57.7,0,0,0,73.1,0,0,0,0,0,0,0,0,0
Blake Walston,2,208,343,60.6,39.4,32.7,0,17.8,3.8,0,13.1,0,16.3,0,0,16.3,0,0
Brandon Pfaadt,2,1869,2797,66.8,33.2,33.4,0,0,22.2,0,5.3,0,27.3,0,0.6,11.2,0,0
Bryce Jarvis,2,634,1008,62.9,37.1,34.4,0,12.7,14.9,23.7,0.7,0,0,0,0,13.6,0,0
Cristian Mena,2,40,70,57.1,42.9,38.6,0,0,0,0,31.4,0,10,0,0,11.4,0,0
Dylan Floro,2,170,272,62.5,37.5,15.8,0,0,47.7,26.9,0,0,0,0,0,9.5,0,0
Humberto Castellanos,2,117,186,62.9,37.1,14.5,0,26.9,31.7,0,14.5,0,0,0,0,12.4,0,0
Joe Jacques,2,10,17,58.8,41.2,0,0,0,64,10,0,0,26,0,0,0,0,0
Joe Mantiply,2,588,869,67.7,32.3,4.4,0,0,42.7,0,26.5,0,0,0,0,26.4,0,0
Jordan Montgomery,2,1216,1935,62.8,37.2,17.3,0,0,30.8,1.8,30.7,0,0,0,0,19.3,0,0
Justin Martinez,2,743,1178,63.1,36.9,11.4,0,0,45.2,21.6,0,0,0,0,21.8,0,0,0
Kevin Ginkel,2,760,1185,64.1,35.9,51.9,0,0,9.7,38.4,0,0,0,0,0,0,0,0
Kyle Nelson,2,100,145,69,31,27.6,0,21.4,0,51,0,0,0,0,0,0,0,0
Logan Allen,2,301,470,64,36,18.7,0,22.1,16.4,0,1.3,0,20.9,0,20.6,0,0,0
Miguel Castro,2,148,233,63.5,36.5,0,0,0,45.7,38.8,0,0,0,0,0,15.5,0,0
Paul Sewald,2,440,629,70,30,59.8,0,0,0,0,0,0,39.6,0,0,0,0,0
Ryan Thompson,2,660,980,67.3,32.7,10.2,0,0,64.1,25.7,0,0,0,0,0,0,0,0
Ryne Nelson,2,1633,2407,67.8,32.2,55.7,0,18.4,0,8.5,5.7,0,1.8,0,0,9.9,0,0
Scott McGough,2,359,578,62.1,37.9,50.1,0,0,4,13.9,0,0,0,0,32.1,0,0,0
Slade Cecconi,2,857,1294,66.2,33.8,54.8,0,0,0,24,8.9,0,0,0,0,12.2,0,0
Thyago Vieira,2,178,278,64,36,22.7,0,0,40.4,36.1,0,0,0,0,0,0.8,0,0
Tommy Henry,2,448,706,63.5,36.5,32.3,0,0,19,7.2,23.8,0,0,0,0,17.7,0,0
Yilber Diaz,2,290,469,61.8,38.2,58,0,0,0,27.3,14.3,0,0,0,0,0,0,0