name,Rotation,Balls,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Albert Suárez,1,844,1394,2238,62.3,37.7,50,0,19.5,0,0,13.2,0,0,0,0,17.2,0,0
Cade Povich,1,491,898,1389,64.7,35.3,40.7,0,7.5,8.4,0,19.6,0,13,0,0,10.9,0,0
Chayce McDermott,1,30,52,82,63.4,36.6,41.5,0,0,0,23.2,0,0,6.1,0,0,19.5,0,0
Dean Kremer,1,788,1383,2171,63.7,36.3,32.1,0,23,15,0,11.4,0,0,0,18.5,0,0,0
Grayson Rodriguez,1,634,1245,1879,66.3,33.7,46.5,0,0,1.2,15.8,15.5,0,0,0,0,21,0,0
Kyle Bradish,1,253,421,674,62.5,37.5,13.1,0,0,39.9,29.8,17.2,0,0,0,0,0,0,0
Trevor Rogers,1,131,226,357,63.3,36.7,31.7,0,0,24,20.6,0,0,0,0,0,23.8,0,0
Tyler Wells,1,87,172,259,66.4,33.6,34.4,0,17.8,0,10.4,18.5,0,0,0,0,18.9,0,0
Zach Eflin,1,277,555,832,66.7,33.3,8.9,0,28.2,28.3,0.2,18.8,0,9.4,0,0,6,0,0
Bryan Baker,2,132,239,371,64.4,35.6,48.6,0,0,0,28.1,9.2,0,0,0,0,13.8,0,0
Burch Smith,2,130,266,396,67.2,32.8,50,0,21.4,0.2,0,18.3,0,9.3,0,0,0.8,0,0
Cionel Pérez,2,333,532,865,61.5,38.5,24.2,0,0,38.3,37.5,0,0,0,0,0,0,0,0
Colin Selby,2,26,37,63,58.7,41.3,26.8,0,0,32.1,19.6,21.4,0,0,0,0,0,0,0
Corbin Burnes,2,1064,1933,2997,64.5,35.5,0,0,45,7.8,12.8,21.5,0,1.8,0,0,11,0,0
Craig Kimbrel,2,380,586,966,60.7,39.3,65.7,0,0,0,0,28.9,0,4.9,0,0,0.5,0,0
Danny Coulombe,2,167,299,466,64.2,35.8,15.5,0,30,13.5,0,12.4,0,28.5,0,0,0,0,0
Gregory Soto,2,116,196,312,62.8,37.2,12.2,0,0,45.6,33.5,0,0,7.9,0,0,0,0,0
Jacob Webb,2,331,603,934,64.6,35.4,44.2,0,0,0,0,0,0,28.1,0,0,27.6,0,0
John Means,2,111,209,320,65.3,34.7,37.5,0,0,0,23.1,10.9,0,0,0,0,28.4,0,0
Jonathan Heasley,2,41,67,108,62,38,19.4,0,0,0,23.1,23.1,0,34.3,0,0,0,0,0
Keegan Akin,2,428,816,1244,65.6,34.4,56,0,0,0,33.2,0,0,0,0,0,10.8,0,0
Matt Bowman,2,87,151,238,63.4,36.6,0.6,0,19.7,38.8,0,0,0,25.8,0,15.1,0,0,0
Matt Krook,2,11,16,27,59.3,40.7,0,0,7.4,66.7,0,0,0,22.2,0,0,0,0,0
Nick Vespi,2,54,115,169,68,32,0,0,56.8,0,24.9,18.3,0,0,0,0,0,0,0
Seranthony Domínguez,2,151,260,411,63.3,36.7,40.4,0,0,18.4,40,0,0,0,0,0,1.1,0,0
Tucker Davidson,2,23,44,67,65.7,34.3,14.9,0,0,16.4,34.3,11.9,0,0,0,17.9,0,0,0
Vinny Nittoli,2,21,40,61,65.6,34.4,0,0,57.9,1.7,0,8.4,0,29.8,0,0,0,0,0
Yennier Cano,2,372,636,1008,63.1,36.9,11,0,0,51.5,13,0,0,0,0,0,24.5,0,0