name,Rotation,Strikes,Pitches,StrikesRate,BallsRate,4-SeamFastball,2-SeamFastball,Cutter,Sinker,Slider,Curveball,Knuckle,Sweeper,Slurve,Split-Finger,Changeup,Fork,Screw
Dylan Cease,1,1999,3188,62.7,37.3,43.5,0,0.6,0,42.9,7.9,0,4.2,0,0,0.9,0,0
Joe Musgrove,1,1036,1582,65.5,34.5,24.6,0,20.4,4.4,0.3,22.5,0,20,0,0,7.8,0,0
Matt Waldron,1,1570,2451,64.1,35.9,19.1,0,8.6,14.3,0,0,0,19.8,0,0,0,0,0
Michael King,1,1872,2895,64.7,35.3,24.1,0,0,27.9,5.6,0,0,17.8,0,0,24.6,0,0
Randy Vásquez,1,1091,1688,64.6,35.4,28.5,0,13.7,15.7,0,19.7,0,10,0,0,12.4,0,0
Yu Darvish,1,846,1264,66.9,33.1,19,0,4.4,16.8,23.1,13.6,0,14,0,9,0,0,0
Adam Mazur,2,352,585,60.2,39.8,39.2,0,0,4.1,33.7,12.7,0,0,0,0,10.3,0,0
Adrian Morejon,2,714,1064,67.1,32.9,23.4,0,0,36,30.4,0,0,2.6,0,7.6,0,0,0
Alek Jacob,2,149,232,64.2,35.8,21.1,0,0,34.1,0,0,0,14.2,0,0,30.6,0,0
Austin Davis,2,81,142,57,43,0,0,38,38,0,0,0,23.9,0,0,0,0,0
Bryan Hoeing,2,201,305,65.9,34.1,6,0,0,50.5,22.9,0,0,0,0,20.6,0,0,0
Carl Jr. Edwards,2,4,12,33.3,66.7,50,0,0,0,0,41.7,0,0,0,0,0,0,0
Jason Adam,2,255,403,63.3,36.7,37.4,0,0,0,20.6,0,0,16.1,0,0,25.8,0,0
Jeremiah Estrada,2,672,1004,66.9,33.1,56.5,0,0,0,23.6,0,0,0,0,19.8,0,0,0
Jhony Brito,2,408,630,64.8,35.2,26.3,0,0,24.8,9.1,2.2,0,2.9,0,0,34.4,0,0
Logan Gillaspie,2,113,151,74.8,25.2,47,0,6.6,0,1.3,19.9,0,10.6,0,0,14.6,0,0
Martín Pérez,2,524,816,64.2,35.8,5.3,0,22.1,35.8,0,14.1,0,0,0,0,22.7,0,0
Robert Suarez,2,655,978,67,33,71.4,0,0.4,15.6,0,0,0,0,0,0,12.6,0,0
Sean Reynolds,2,137,225,60.9,39.1,48.9,0,0,0,43.6,0,0,2.2,0,0,5.3,0,0
Stephen Kolek,2,534,799,66.8,33.2,13.2,0,19.3,40.5,9.7,0,0,10.4,0,0,6.9,0,0
Tanner Scott,2,304,423,71.9,28.1,59.2,0,0,0,40.7,0,0,0,0,0,0,0,0
Tom Cosgrove,2,204,323,63.2,36.8,22.9,0,0,26,0,0,0,51.1,0,0,0,0,0
Wandy Peralta,2,376,616,61,39,9.1,0,0,39,10.1,0,0,0,0,0,41.8,0,0
Yuki Matsui,2,661,1053,62.8,37.2,41.1,0,0,0,26.9,1,0,6.6,0,24.5,0,0,0